A,B,C,D,E,F
2080,302,258,288,86976,1353
2081,141,155,236,33276,1158
2082,111,73,239,26529,1144
2083,88,54,270,23760,1274
2084,241,199,329,79289,1542
2085,323,318,310,100130,1465
2086,165,204,209,34485,1007
2087,132,150,276,36432,1285
2088,121,117,389,47069,1883
2089,62,103,331,20522,1633
2090,419,449,376,157544,1803
2091,321,285,340,109140,1653
2092,201,216,284,57084,1372
2093,212,186,279,59148,1285
2094,154,107,362,55748,1759
2095,399,406,277,110523,1266
2096,219,188,262,57378,1286
2097,208,209,393,81744,1895
2098,333,325,268,89244,1323
2099,91,86,398,36218,1929
2100,336,354,357,119952,1699
2101,477,516,266,126882,1328
2102,404,436,281,113524,1316
2103,394,344,380,149720,1897
2104,326,312,249,81174,1277
2105,75,67,393,29475,1914
2106,26,41,394,10244,1972
2107,112,146,336,37632,1582
2108,213,247,312,66456,1576
2109,349,320,300,104700,1424
2110,399,435,245,97755,1166
2111,136,118,276,37536,1354
2112,437,401,305,133285,1501
2113,357,387,382,136374,1884
2114,247,283,229,56563,1102
2115,103,130,311,32033,1549
2116,27,-11,312,8424,1505
2117,290,267,362,104980,1712
2118,464,449,230,106720,1070
2119,481,487,376,180856,1817
2120,216,263,238,51408,1097
2121,433,417,207,89631,1072
2122,61,37,397,24217,2020
2123,464,462,377,174928,1876
2124,474,431,212,100488,1067
2125,267,277,359,95853,1753
2126,114,138,305,34770,1436
2127,498,529,301,149898,1534
2128,373,374,342,127566,1672
2129,251,237,331,83081,1634
2130,396,434,261,103356,1336
2131,242,292,374,90508,1775
2132,141,123,344,48504,1675
2133,132,131,265,34980,1233
2134,259,297,247,63973,1240
2135,326,368,218,71068,1087
2136,122,91,376,45872,1785
2137,235,221,245,57575,1138
2138,89,46,357,31773,1700
2139,468,418,328,153504,1577
2140,200,221,273,54600,1286
2141,259,244,312,80808,1553
2142,180,200,210,37800,1002
2143,173,156,234,40482,1193
2144,384,389,339,130176,1717
2145,252,238,225,56700,1059
2146,446,462,390,173940,1899
2147,365,376,234,85410,1190
2148,41,17,392,16072,1990
2149,86,86,235,20210,1140
2150,371,406,379,140609,1934
2151,64,39,279,17856,1310
2152,388,393,358,138904,1677
2153,288,251,339,97632,1632
2154,230,230,259,59570,1222
2155,124,143,351,43524,1707
2156,65,41,367,23855,1875
2157,161,132,227,36547,1110
2158,44,85,297,13068,1396
2159,422,422,250,105500,1213
2160,338,302,301,101738,1490
2161,69,109,227,15663,1099
2162,75,31,308,23100,1455
2163,370,348,238,88060,1212
2164,81,40,395,31995,1884
2165,219,182,232,50808,1051
2166,7,41,227,1589,1075
2167,431,474,385,165935,1908
2168,334,290,336,112224,1583
2169,261,212,237,61857,1173
2170,296,322,228,67488,1032
2171,51,18,328,16728,1670
2172,196,241,356,69776,1818
2173,68,88,306,20808,1427
2174,429,433,314,134706,1517
2175,108,136,203,21924,950
2176,421,418,279,117459,1330
2177,405,429,235,95175,1109
2178,101,128,357,36057,1752
2179,314,272,299,93886,1453
2180,47,6,307,14429,1518
2181,74,59,350,25900,1631
2182,426,432,388,165288,1953
2183,400,387,299,119600,1504
2184,164,161,347,56908,1637
2185,56,37,228,12768,1046
2186,249,204,260,64740,1268
2187,270,236,277,74790,1422
2188,144,176,302,43488,1521
2189,290,312,328,95120,1651
2190,156,141,274,42744,1361
2191,385,409,376,144760,1832
2192,255,244,229,58395,1081
2193,38,78,328,12464,1649
2194,116,88,238,27608,1081
2195,500,468,231,115500,1122
2196,484,442,362,175208,1764
2197,385,397,286,110110,1376
2198,41,63,237,9717,1073
2199,25,14,291,7275,1431
2200,207,248,334,69138,1675
2201,21,44,236,4956,1188
2202,203,169,325,65975,1603
2203,298,288,244,72712,1114
2204,1,20,332,332,1609
2205,408,422,225,91800,1145
2206,293,308,211,61823,1011
2207,308,299,257,79156,1320
2208,440,432,202,88880,970
2209,129,173,285,36765,1380
2210,353,369,275,97075,1305
2211,98,119,233,22834,1178
2212,447,458,265,118455,1320
2213,65,92,262,17030,1278
2214,149,166,319,47531,1502
2215,129,115,302,38958,1505
2216,382,354,243,92826,1196
2217,28,3,254,7112,1232
2218,58,43,253,14674,1214
2219,140,150,257,35980,1185
2220,213,178,222,47286,1033
2221,400,405,374,149600,1905
2222,150,109,386,57900,1966
2223,150,161,240,36000,1131
2224,478,444,296,141488,1375
2225,497,532,267,132699,1227
2226,4,25,222,888,1142
2227,377,333,254,95758,1244
2228,413,429,292,120596,1408
2229,336,335,229,76944,1170
2230,265,272,341,90365,1706
2231,360,336,349,125640,1683
2232,290,262,237,68730,1114
2233,36,45,363,13068,1803
2234,332,332,379,125828,1778
2235,384,393,260,99840,1239
2236,92,47,350,32200,1738
2237,80,54,228,18240,1108
2238,214,164,375,80250,1856
2239,155,192,277,42935,1308
2240,90,62,273,24570,1376
2241,286,307,351,100386,1688
2242,213,248,225,47925,1013
2243,238,283,356,84728,1744
2244,360,321,280,100800,1363
2245,240,281,356,85440,1750
2246,410,369,305,125050,1531
2247,464,439,324,150336,1581
2248,207,239,364,75348,1829
2249,475,454,210,99750,1000
2250,206,191,259,53354,1322
2251,404,360,370,149480,1766
2252,195,188,324,63180,1625
2253,473,427,337,159401,1593
2254,414,449,279,115506,1372
2255,23,70,351,8073,1658
2256,319,288,319,101761,1623
2257,289,329,274,79186,1283
2258,23,41,231,5313,1128
2259,262,268,297,77814,1504
2260,57,11,359,20463,1713
2261,451,470,380,171380,1817
2262,279,256,356,99324,1672
2263,320,320,308,98560,1493
2264,81,40,213,17253,1103
2265,364,363,317,115388,1467
2266,442,467,222,98124,1008
2267,68,106,241,16388,1155
2268,132,111,256,33792,1181
2269,75,101,382,28650,1898
2270,118,142,202,23836,921
2271,418,425,209,87362,1041
2272,288,270,354,101952,1675
2273,459,420,267,122553,1369
2274,250,240,292,73000,1409
2275,37,-10,256,9472,1196
2276,71,98,313,22223,1476
2277,366,388,273,99918,1324
2278,456,488,235,107160,1154
2279,170,126,306,52020,1512
2280,247,284,284,70148,1370
2281,228,263,311,70908,1555
2282,392,429,384,150528,1824
2283,97,84,230,22310,1070
2284,193,199,357,68901,1759
2285,83,88,278,23074,1323
2286,238,248,216,51408,1057
2287,293,249,328,96104,1627
2288,17,22,275,4675,1371
2289,230,244,213,48990,970
2290,466,474,247,115102,1242
2291,141,171,226,31866,1129
2292,331,372,214,70834,1053
2293,54,69,217,11718,1091
2294,358,322,346,123868,1615
2295,382,357,244,93208,1119
2296,26,70,400,10400,1945
2297,304,286,390,118560,1887
2298,342,305,214,73188,1106
2299,155,118,320,49600,1546
2300,497,504,353,175441,1698
2301,377,425,294,110838,1431
2302,221,243,316,69836,1522
2303,150,199,211,31650,1084
2304,242,206,250,60500,1182
2305,13,-23,334,4342,1576
2306,330,294,377,124410,1919
2307,88,127,397,34936,2020
2308,109,141,306,33354,1536
2309,189,181,267,50463,1330
2310,340,342,331,112540,1661
2311,493,512,229,112897,1115
2312,491,464,323,158593,1541
2313,264,307,385,101640,1822
2314,370,362,274,101380,1259
2315,53,24,386,20458,1858
2316,33,18,269,8877,1361
2317,482,455,270,130140,1270
2318,228,209,259,59052,1214
2319,410,438,341,139810,1670
2320,349,341,277,96673,1379
2321,338,363,227,76726,1102
2322,258,292,301,77658,1544
2323,284,239,324,92016,1614
2324,396,364,372,147312,1861
2325,315,296,336,105840,1571
2326,161,152,313,50393,1536
2327,6,49,235,1410,1061
2328,198,173,379,75042,1783
2329,132,101,270,35640,1300
2330,375,414,274,102750,1364
2331,404,448,396,159984,1950
2332,410,415,291,119310,1421
2333,365,411,393,143445,1910
2334,405,376,219,88695,1100
2335,429,413,392,168168,1874
2336,266,228,208,55328,1040
2337,121,73,322,38962,1637
2338,389,346,393,152877,1882
2339,81,103,224,18144,1089
2340,103,64,238,24514,1077
2341,283,268,264,74712,1300
2342,250,292,338,84500,1586
2343,134,129,338,45292,1716
2344,499,548,265,132235,1248
2345,151,152,377,56927,1919
2346,4,-1,338,1352,1662
2347,83,82,298,24734,1371
2348,405,394,352,142560,1751
2349,37,85,336,12432,1713
2350,372,360,283,105276,1398
2351,148,149,275,40700,1290
2352,8,54,312,2496,1588
2353,234,198,237,55458,1113
2354,15,40,214,3210,1100
2355,391,439,347,135677,1677
2356,395,358,366,144570,1819
2357,427,469,309,131943,1439
2358,461,498,329,151669,1667
2359,97,103,286,27742,1369
2360,158,134,382,60356,1837
2361,311,267,307,95477,1455
2362,127,127,328,41656,1608
2363,318,283,324,103032,1566
2364,281,299,373,104813,1790
2365,140,90,254,35560,1253
2366,487,493,345,168015,1707
2367,5,-4,253,1265,1298
2368,370,342,339,125430,1597
2369,368,403,392,144256,1990
2370,384,394,335,128640,1569
2371,281,268,228,64068,1064
2372,8,-41,335,2680,1616
2373,364,343,396,144144,1947
2374,288,274,251,72288,1278
2375,344,306,253,87032,1292
2376,389,378,288,112032,1346
2377,185,151,351,64935,1688
2378,330,327,335,110550,1647
2379,349,373,256,89344,1222
2380,30,-12,323,9690,1512
2381,288,317,226,65088,1085
2382,150,190,234,35100,1179
2383,310,295,394,122140,1942
2384,152,137,323,49096,1648
2385,57,53,334,19038,1640
2386,268,318,217,58156,1000
2387,46,58,376,17296,1898
2388,103,53,392,40376,1842
2389,306,303,302,92412,1534
2390,346,351,309,106914,1501
2391,246,295,369,90774,1791
2392,134,157,249,33366,1148
2393,241,201,331,79771,1649
2394,191,163,367,70097,1875
2395,285,335,390,111150,1861
2396,172,215,339,58308,1633
2397,212,202,283,59996,1409
2398,7,22,338,2366,1633
2399,72,67,335,24120,1707
2400,432,434,211,91152,1031
2401,478,433,389,185942,1828
2402,397,446,268,106396,1374
2403,74,92,257,19018,1297
2404,353,362,396,139788,1902
2405,208,257,247,51376,1170
2406,186,190,306,56916,1440
2407,243,203,205,49815,965
2408,487,459,230,112010,1067
2409,445,427,335,149075,1683
2410,98,96,390,38220,1914
2411,174,206,325,56550,1518
2412,480,513,213,102240,1055
2413,52,34,210,10920,995
2414,384,389,246,94464,1112
2415,424,383,371,157304,1789
2416,282,274,218,61476,1089
2417,488,485,237,115656,1095
2418,376,326,356,133856,1663
2419,423,410,349,147627,1640
2420,258,268,344,88752,1660
2421,302,336,217,65534,1020
2422,155,107,232,35960,1144
2423,151,106,333,50283,1591
2424,360,346,297,106920,1422
2425,136,108,377,51272,1849
2426,479,445,254,121666,1237
2427,472,452,216,101952,1005
2428,9,52,342,3078,1729
2429,104,108,302,31408,1538
2430,119,141,322,38318,1608
2431,105,155,202,21210,930
2432,328,336,294,96432,1374
2433,483,454,359,173397,1675
2434,498,492,338,168324,1622
2435,57,102,326,18582,1547
2436,334,319,375,125250,1792
2437,454,453,350,158900,1680
2438,195,182,384,74880,1859
2439,5,-24,315,1575,1470
2440,309,343,252,77868,1161
2441,4,36,222,888,1099
2442,217,253,299,64883,1486
2443,375,389,255,95625,1227
2444,471,465,296,139416,1504
2445,43,85,288,12384,1402
2446,94,128,388,36472,1825
2447,384,381,349,134016,1765
2448,207,235,383,79281,1827
2449,438,461,246,107748,1249
2450,417,433,255,106335,1192
2451,366,412,302,110532,1545
2452,475,499,296,140600,1487
2453,144,119,395,56880,1882
2454,154,129,342,52668,1617
2455,434,406,222,96348,1134
2456,41,-2,380,15580,1833
2457,423,443,353,149319,1659
2458,473,445,262,123926,1317
2459,78,125,254,19812,1190
2460,292,274,223,65116,1021
2461,173,157,299,51727,1403
2462,264,263,209,55176,980
2463,325,310,204,66300,968
2464,273,286,235,64155,1191
2465,137,139,397,54389,2025
2466,133,158,230,30590,1178
2467,202,239,285,57570,1308
2468,336,372,337,113232,1693
2469,71,26,234,16614,1187
2470,401,411,255,102255,1268
2471,407,450,326,132682,1556
2472,413,410,296,122248,1387
2473,20,24,348,6960,1727
2474,294,289,238,69972,1214
2475,348,347,305,106140,1555
2476,302,282,208,62816,950
2477,46,76,249,11454,1256
2478,472,459,366,172752,1787
2479,265,263,263,69695,1208
2480,453,416,352,159456,1772
2481,428,478,273,116844,1349
2482,378,329,237,89586,1140
2483,228,265,216,49248,997
2484,426,413,212,90312,944
2485,233,204,286,66638,1316
2486,180,184,239,43020,1216
2487,130,145,326,42380,1541
2488,299,303,370,110630,1880
2489,78,77,336,26208,1699
2490,271,312,353,95663,1671
2491,498,503,299,148902,1510
2492,438,457,272,119136,1317
2493,381,381,242,92202,1206
2494,348,387,319,111012,1616
2495,246,214,372,91512,1759
2496,224,178,350,78400,1646
2497,385,388,382,147070,1862
2498,203,198,203,41209,1022
2499,472,475,382,180304,1882
2500,6,21,382,2292,1944
2501,276,246,376,103776,1827
2502,487,471,216,105192,1072
2503,219,246,223,48837,1046
2504,206,194,385,79310,1956
2505,178,158,318,56604,1629
2506,173,152,295,51035,1448
2507,341,334,212,72292,1060
2508,119,86,230,27370,1091
2509,447,422,205,91635,1001
2510,145,155,211,30595,936
2511,440,476,220,96800,1054
2512,477,508,355,169335,1784
2513,283,251,218,61694,1012
2514,133,161,388,51604,1975
2515,440,489,373,164120,1749
2516,356,387,222,79032,1061
2517,39,-7,281,10959,1374
2518,477,454,380,181260,1796
2519,422,399,381,160782,1844
2520,80,41,325,26000,1561
2521,271,318,213,57723,1013
2522,87,108,324,28188,1570
2523,347,388,207,71829,1047
2524,174,135,220,38280,1129
2525,126,126,385,48510,1873
2526,79,128,311,24569,1589
2527,63,93,384,24192,1943
2528,178,201,258,45924,1181
2529,474,506,327,154998,1646
2530,316,303,345,109020,1650
2531,185,196,353,65305,1686
2532,18,32,340,6120,1632
2533,56,87,355,19880,1797
2534,126,93,225,28350,1083
2535,360,398,330,118800,1536
2536,259,247,277,71743,1279
2537,106,125,232,24592,1097
2538,203,236,395,80185,1933
2539,169,215,219,37011,1099
2540,50,53,356,17800,1692
2541,457,462,206,94142,937
2542,38,32,279,10602,1295
2543,354,344,392,138768,1944
2544,296,311,391,115736,1891
2545,162,165,278,45036,1275
2546,239,232,216,51624,1032
2547,400,360,366,146400,1828
2548,16,17,366,5856,1769
2549,172,190,242,41624,1154
2550,196,186,265,51940,1226
2551,348,345,369,128412,1731
2552,392,414,346,135632,1768
2553,277,281,209,57893,1037
2554,264,264,384,101376,1892
2555,165,161,240,39600,1176
2556,30,9,275,8250,1386
2557,115,86,276,31740,1345
2558,290,247,247,71630,1115
2559,211,216,400,84400,1954
2560,452,425,233,105316,1171
2561,10,-23,290,2900,1458
2562,326,371,311,101386,1573
2563,159,164,357,56763,1720
2564,417,466,378,157626,1826
2565,397,396,281,111557,1400
2566,298,312,336,100128,1664
2567,41,86,303,12423,1411
2568,248,206,309,76632,1443
2569,294,265,253,74382,1305
2570,172,208,223,38356,1041
2571,491,540,238,116858,1186
2572,253,240,399,100947,1886
2573,171,203,262,44802,1343
2574,8,-23,279,2232,1407
2575,327,330,227,74229,1033
2576,54,48,344,18576,1640
2577,297,315,279,82863,1353
2578,473,457,339,160347,1710
2579,176,164,297,52272,1384
2580,430,383,371,159530,1822
2581,367,334,371,136157,1868
2582,204,208,345,70380,1688
2583,68,21,267,18156,1373
2584,319,333,336,107184,1669
2585,219,169,238,52122,1109
2586,75,25,228,17100,1071
2587,171,209,243,41553,1100
2588,42,47,320,13440,1619
2589,229,209,237,54273,1198
2590,409,378,343,140287,1721
2591,472,476,249,117528,1203
2592,295,317,301,88795,1405
2593,27,-15,263,7101,1240
2594,129,151,274,35346,1328
2595,458,435,254,116332,1240
2596,84,34,241,20244,1111
2597,56,61,314,17584,1603
2598,59,41,309,18231,1568
2599,254,211,381,96774,1888
2600,454,460,369,167526,1835
2601,168,187,350,58800,1679
2602,211,233,352,74272,1690
2603,490,457,275,134750,1390
2604,452,416,276,124752,1264
2605,360,335,277,99720,1401
2606,49,89,316,15484,1577
2607,470,432,255,119850,1245
2608,355,320,379,134545,1927
2609,125,110,337,42125,1720
2610,34,30,376,12784,1873
2611,188,160,363,68244,1753
2612,384,338,275,105600,1414
2613,464,428,268,124352,1311
2614,302,264,315,95130,1528
2615,190,175,282,53580,1295
2616,209,216,295,61655,1491
2617,340,337,319,108460,1626
2618,53,91,379,20087,1776
2619,464,480,325,150800,1574
2620,319,337,319,101761,1551
2621,220,216,342,75240,1747
2622,156,130,212,33072,979
2623,369,322,319,117711,1621
2624,239,273,319,76241,1580
2625,4,5,225,900,1104
2626,416,374,290,120640,1401
2627,439,435,364,159796,1839
2628,274,260,225,61650,1065
2629,79,66,203,16037,1023
2630,336,385,352,118272,1702
2631,124,150,293,36332,1376
2632,203,202,361,73283,1812
2633,430,462,230,98900,1049
2634,332,317,220,73040,980
2635,471,487,254,119634,1289
2636,192,216,205,39360,1032
2637,287,301,301,86387,1403
2638,133,99,202,26866,1000
2639,383,368,283,108389,1403
2640,318,358,224,71232,1107
2641,19,60,256,4864,1216
2642,348,307,337,117276,1593
2643,124,168,281,34844,1285
2644,390,417,249,97110,1211
2645,77,93,356,27412,1775
2646,429,444,382,163878,1873
2647,26,-12,224,5824,1041
2648,116,163,310,35960,1523
2649,425,464,320,136000,1554
2650,133,86,266,35378,1271
2651,87,49,254,22098,1245
2652,167,180,293,48931,1404
2653,402,426,212,85224,1068
2654,84,96,247,20748,1232
2655,114,110,380,43320,1896
2656,492,540,337,165804,1648
2657,333,295,266,88578,1316
2658,453,426,352,159456,1700
2659,403,378,221,89063,1033
2660,58,31,248,14384,1139
2661,223,187,371,82733,1804
2662,56,105,318,17808,1613
2663,28,44,346,9688,1747
2664,3,6,244,732,1132
2665,359,404,266,95494,1249
2666,469,440,288,135072,1343
2667,12,26,245,2940,1226
2668,408,419,392,159936,1905
2669,121,119,270,32670,1240
2670,299,315,391,116909,1967
2671,24,31,335,8040,1681
2672,250,252,239,59750,1119
2673,69,46,220,15180,1072
2674,212,215,266,56392,1364
2675,271,293,308,83468,1553
2676,48,9,374,17952,1765
2677,337,294,205,69085,939
2678,462,444,207,95634,919
2679,411,448,334,137274,1603
2680,115,122,394,45310,1974
2681,309,269,400,123600,1880
2682,183,148,280,51240,1408
2683,120,129,349,41880,1760
2684,361,376,377,136097,1847
2685,122,152,244,29768,1121
2686,39,82,389,15171,1915
2687,160,207,352,56320,1701
2688,424,471,333,141192,1679
2689,243,287,250,60750,1135
2690,223,269,345,76935,1759
2691,158,192,264,41712,1360
2692,459,468,210,96390,1070
2693,143,127,273,39039,1268
2694,335,359,229,76715,1182
2695,204,206,286,58344,1406
2696,75,99,385,28875,1826
2697,128,177,349,44672,1747
2698,417,446,298,124266,1414
2699,106,131,240,25440,1206
2700,25,2,387,9675,1912
2701,419,465,398,166762,1995
2702,300,334,322,96600,1501
2703,260,282,286,74360,1448
2704,488,444,220,107360,1119
2705,210,222,295,61950,1388
2706,126,107,383,48258,1810
2707,130,119,216,28080,1005
2708,392,402,352,137984,1652
2709,227,194,307,69689,1417
2710,457,426,239,109223,1182
2711,387,395,212,82044,1009
2712,431,391,367,158177,1776
2713,61,18,375,22875,1828
2714,207,245,258,53406,1219
2715,299,343,205,61295,1034
2716,265,238,378,100170,1805
2717,165,130,354,58410,1778
2718,124,139,347,43028,1743
2719,123,79,309,38007,1491
2720,377,334,243,91611,1235
2721,109,153,324,35316,1584
2722,240,213,321,77040,1498
2723,169,150,330,55770,1664
2724,274,268,227,62198,1056
2725,98,135,249,24402,1285
2726,111,66,343,38073,1715
2727,99,84,391,38709,1965
2728,213,168,264,56232,1223
2729,180,193,270,48600,1258
2730,138,125,340,46920,1664
2731,14,-4,324,4536,1572
2732,253,288,232,58696,1196
2733,68,20,312,21216,1524
2734,33,8,278,9174,1342
2735,276,243,314,86664,1450
2736,141,181,253,35673,1156
2737,57,39,282,16074,1303
2738,90,134,340,30600,1730
2739,153,109,325,49725,1589
2740,337,300,203,68411,980
2741,62,49,261,16182,1245
2742,347,333,247,85709,1258
2743,394,425,321,126474,1600
2744,238,203,289,68782,1443
2745,475,494,250,118750,1282
2746,221,268,331,73151,1629
2747,248,214,244,60512,1178
2748,323,280,336,108528,1687
2749,89,119,361,32129,1695
2750,1,30,352,352,1645
2751,152,126,311,47272,1511
2752,25,28,216,5400,1102
2753,459,463,247,113373,1134
2754,438,402,362,158556,1782
2755,180,188,288,51840,1356
2756,15,38,305,4575,1477
2757,147,98,333,48951,1584
2758,39,26,394,15366,2008
2759,354,308,320,113280,1492
2760,403,392,252,101556,1157
2761,280,300,342,95760,1722
2762,78,39,360,28080,1794
2763,220,185,313,68860,1495
2764,217,188,366,79422,1751
2765,397,419,260,103220,1278
2766,130,102,225,29250,1112
2767,142,164,297,42174,1375
2768,383,347,400,153200,1970
2769,252,279,301,75852,1454
2770,51,61,250,12750,1222
2771,287,259,370,106190,1880
2772,106,133,367,38902,1752
2773,118,74,218,25724,1101
2774,374,338,244,91256,1151
2775,410,422,391,160310,1967
2776,180,215,222,39960,1116
2777,324,333,294,95256,1375
2778,215,165,337,72455,1655
2779,144,116,268,38592,1306
2780,451,406,202,91102,1041
2781,439,411,233,102287,1164
2782,327,356,283,92541,1337
2783,107,134,298,31886,1513
2784,4,36,281,1124,1358
2785,144,146,218,31392,1040
2786,300,282,361,108300,1774
2787,14,42,280,3920,1289
2788,293,277,330,96690,1620
2789,203,199,346,70238,1736
2790,427,419,372,158844,1795
2791,393,391,270,106110,1240
2792,153,146,287,43911,1431
2793,231,203,294,67914,1461
2794,127,116,209,26543,972
2795,249,283,318,79182,1537
2796,134,146,368,49312,1803
2797,66,17,269,17754,1384
2798,11,8,313,3443,1499
2799,454,409,352,159808,1664
2800,13,60,324,4212,1615
2801,500,515,333,166500,1663
2802,177,128,291,51507,1487
2803,48,82,327,15696,1545
2804,335,306,328,109880,1641
2805,498,448,224,111552,1114
2806,331,309,255,84405,1182
2807,80,51,367,29360,1803
2808,40,57,376,15040,1849
2809,36,26,351,12636,1769
2810,194,186,316,61304,1537
2811,187,209,336,62832,1613
2812,366,368,379,138714,1829
2813,27,74,365,9855,1724
2814,176,217,396,69696,1932
2815,75,34,376,28200,1840
2816,235,271,274,64390,1324
2817,340,350,281,95540,1354
2818,467,433,353,164851,1753
2819,284,304,355,100820,1699
2820,259,233,216,55944,1005
2821,484,439,381,184404,1794
2822,108,142,334,36072,1683
2823,58,85,334,19372,1655
2824,12,37,295,3540,1387
2825,63,72,301,18963,1435
2826,98,62,355,34790,1657
2827,96,66,242,23232,1228
2828,451,434,354,159654,1702
2829,169,190,392,66248,1921
2830,23,24,234,5382,1127
2831,493,486,239,117827,1231
2832,38,21,235,8930,1090
2833,437,450,379,165623,1823
2834,496,453,203,100688,933
2835,202,160,285,57570,1444
2836,286,326,349,99814,1759
2837,315,319,224,70560,1065
2838,153,111,295,45135,1494
2839,411,457,400,164400,2021
2840,27,49,207,5589,926
2841,265,265,221,58565,998
2842,93,72,301,27993,1436
2843,449,450,234,105066,1078
2844,104,150,223,23192,1038
2845,274,297,344,94256,1635
2846,51,98,357,18207,1822
2847,456,475,294,134064,1419
2848,258,247,284,73272,1456
2849,64,68,277,17728,1356
2850,212,175,206,43672,1062
2851,346,376,239,82694,1139
2852,92,88,382,35144,1808
2853,430,470,303,130290,1553
2854,62,98,227,14074,1057
2855,230,196,311,71530,1584
2856,327,286,337,110199,1701
2857,241,275,287,69167,1392
2858,150,180,295,44250,1506
2859,197,192,265,52205,1291
2860,41,40,310,12710,1578
2861,337,348,310,104470,1477
2862,448,427,369,165312,1876
2863,152,202,395,60040,2012
2864,402,395,290,116580,1432
2865,484,533,246,119064,1120
2866,470,500,272,127840,1277
2867,279,251,372,103788,1810
2868,232,279,202,46864,1008
2869,488,447,343,167384,1628
2870,175,157,335,58625,1679
2871,424,426,396,167904,2014
2872,291,241,205,59655,954
2873,19,29,265,5035,1233
2874,177,133,271,47967,1356
2875,294,332,325,95550,1508
2876,256,294,333,85248,1571
2877,161,146,297,47817,1414
2878,303,261,397,120291,1904
2879,114,76,387,44118,1876
2880,105,66,301,31605,1440
2881,186,153,379,70494,1798
2882,345,354,211,72795,989
2883,149,117,376,56024,1894
2884,236,203,346,81656,1658
2885,329,377,324,106596,1539
2886,379,389,304,115216,1503
2887,286,303,319,91234,1595
2888,305,320,250,76250,1150
2889,276,300,295,81420,1444
2890,206,203,351,72306,1642
2891,7,43,374,2618,1877
2892,330,339,241,79530,1145
2893,114,73,226,25764,1010
2894,488,482,307,149816,1428
2895,435,456,277,120495,1358
2896,100,79,235,23500,1107
2897,143,166,343,49049,1676
2898,442,461,387,171054,1869
2899,42,16,383,16086,1870
2900,67,34,340,22780,1684
2901,325,290,309,100425,1447
2902,254,242,274,69596,1352
2903,200,208,392,78400,1842
2904,383,404,238,91154,1164
2905,221,255,208,45968,1042
2906,434,428,393,170562,1980
2907,17,46,241,4097,1223
2908,162,145,270,43740,1304
2909,327,376,209,68343,1082
2910,400,414,338,135200,1575
2911,56,44,327,18312,1572
2912,135,169,274,36990,1340
2913,5,-17,395,1975,1979
2914,470,483,224,105280,1040
2915,75,29,336,25200,1580
2916,40,-5,349,13960,1633
2917,223,240,386,86078,1851
2918,221,248,366,80886,1715
2919,92,82,375,34500,1804
2920,93,99,309,28737,1538
2921,74,56,261,19314,1221
2922,126,168,350,44100,1763
2923,357,366,338,120666,1583
2924,92,63,364,33488,1752
2925,123,107,354,43542,1761
2926,460,505,388,178480,1980
2927,66,64,382,25212,1864
2928,364,349,351,127764,1716
2929,444,448,289,128316,1465
2930,375,392,394,147750,1930
2931,359,387,301,108059,1442
2932,454,496,338,153452,1680
2933,107,151,323,34561,1514
2934,34,-3,298,10132,1406
2935,162,114,203,32886,1043
2936,324,347,218,70632,1054
2937,394,349,253,99682,1280
2938,150,176,399,59850,1900
2939,127,159,309,39243,1459
2940,285,317,269,76665,1334
2941,110,152,317,34870,1493
2942,166,149,242,40172,1091
2943,291,318,358,104178,1786
2944,306,274,206,63036,1036
2945,28,22,202,5656,1036
2946,67,33,264,17688,1232
2947,395,423,335,132325,1639
2948,376,410,213,80088,1057
2949,340,340,236,80240,1132
2950,428,457,315,134820,1612
2951,238,232,235,55930,1123
2952,436,425,276,120336,1298
2953,180,181,208,37440,1063
2954,44,-1,276,12144,1265
2955,398,399,239,95122,1141
2956,274,244,345,94530,1610
2957,495,485,216,106920,971
2958,88,130,220,19360,1052
2959,384,420,399,153216,1992
2960,476,503,391,186116,1884
2961,478,479,392,187376,1874
2962,354,374,269,95226,1272
2963,177,154,378,66906,1775
2964,350,322,282,98700,1427
2965,396,442,312,123552,1496
2966,221,243,239,52819,1075
2967,67,101,238,15946,1122
2968,58,90,270,15660,1354
2969,338,340,362,122356,1739
2970,438,450,266,116508,1321
2971,242,259,227,54934,1069
2972,353,334,211,74483,948
2973,117,128,212,24804,944
2974,61,54,201,12261,934
2975,386,358,325,125450,1650
2976,437,437,327,142899,1569
2977,326,281,368,119968,1746
2978,341,356,328,111848,1523
2979,430,410,383,164690,1902
2980,441,429,347,153027,1653
2981,177,199,292,51684,1399
2982,146,131,210,30660,1039
2983,106,78,315,33390,1598
2984,252,212,381,96012,1817
2985,145,112,396,57420,1946
2986,180,228,240,43200,1092
2987,32,16,273,8736,1372
2988,473,489,383,181159,1872
2989,409,426,281,114929,1349
2990,27,53,396,10692,1946
2991,385,394,384,147840,1956
2992,34,81,281,9554,1380
2993,438,473,294,128772,1419
2994,48,43,311,14928,1495
2995,410,403,377,154570,1905
2996,389,361,296,115144,1399
2997,62,25,274,16988,1279
2998,307,327,313,96091,1482
2999,352,375,229,80608,1173
3000,97,53,322,31234,1490
3001,417,402,325,135525,1540
3002,1,0,380,380,1917
3003,13,14,259,3367,1274
3004,232,245,246,57072,1238
3005,403,403,247,99541,1148
3006,340,354,340,115600,1623
3007,309,280,335,103515,1638
3008,183,199,311,56913,1487
3009,391,370,296,115736,1518
3010,65,98,285,18525,1400
3011,183,150,211,38613,968
3012,374,348,215,80410,1058
